Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BookinAPi,,,,22-09-2024 00:39:44,22-09-2024 00:39:49,5.003s,ERROR
,,,,,,,
Test Cases/GET,,,,22-09-2024 00:39:44,22-09-2024 00:39:46,1.852s,PASSED
"getResponse = sendRequest(findTestObject(""GET""))",,,,22-09-2024 00:39:44,22-09-2024 00:39:46,1.718s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.008s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.003s,PASSED
result = slurper.parseText(getResponse.getResponseBodyContent()),,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.006s,PASSED
firstname = firstname,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.002s,PASSED
assert firstname instanceof java.lang.String,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
lastname = lastname,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
assert lastname instanceof java.lang.String,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.000s,PASSED
totalprice = totalprice,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
assert totalprice instanceof java.lang.Integer,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
depositpaid = depositpaid,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
assert depositpaid instanceof java.lang.Boolean,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
bookingdates = bookingdates,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
assert bookingdates instanceof java.lang.Object,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
checkin = checkin,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
assert checkin instanceof java.lang.String,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.000s,PASSED
checkout = checkout,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
assert checkout instanceof java.lang.String,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
additionalneeds = additionalneeds,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
assert additionalneeds instanceof java.lang.String,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
println(getResponse),,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.002s,PASSED
,,,,,,,
Test Cases/POST,,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.336s,PASSED
"postResponse = sendRequest(findTestObject(""POST""))",,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.315s,PASSED
"verifyResponseStatusCode(postResponse, 200)",,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.002s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.000s,PASSED
result = slurper.parseText(postResponse.getResponseBodyContent()),,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.001s,PASSED
println(postResponse),,,,22-09-2024 00:39:46,22-09-2024 00:39:46,0.000s,PASSED
,,,,,,,
Test Cases/DELETE,,,,22-09-2024 00:39:48,22-09-2024 00:39:49,0.820s,ERROR
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:39:48,22-09-2024 00:39:48,0.001s,PASSED
"getResponseAuth = sendRequest(findTestObject(""auth""))",,,,22-09-2024 00:39:48,22-09-2024 00:39:49,0.395s,PASSED
"verifyResponseStatusCode(getResponseAuth, 200)",,,,22-09-2024 00:39:49,22-09-2024 00:39:49,0.001s,PASSED
result = slurper.parseText(getResponseAuth.getResponseBodyContent()),,,,22-09-2024 00:39:49,22-09-2024 00:39:49,0.001s,PASSED
Auth = token,,,,22-09-2024 00:39:49,22-09-2024 00:39:49,0.000s,PASSED
println(getResponseAuth),,,,22-09-2024 00:39:49,22-09-2024 00:39:49,0.000s,PASSED
"delResponse = sendRequest(findTestObject(""DELETE"", [""id"":""3082""]))",,,,22-09-2024 00:39:49,22-09-2024 00:39:49,0.413s,PASSED
result2 = slurper.parseText(delResponse.getResponseBodyContent()),,,,22-09-2024 00:39:49,22-09-2024 00:39:49,0.002s,ERROR
