Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BookinAPi,,,,21-09-2024 22:46:27,21-09-2024 22:46:30,2.889s,ERROR
,,,,,,,
Test Cases/GET,,,,21-09-2024 22:46:27,21-09-2024 22:46:29,2.448s,PASSED
"getResponse = sendRequest(findTestObject(""GET""))",,,,21-09-2024 22:46:27,21-09-2024 22:46:29,2.320s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.005s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.003s,PASSED
result = slurper.parseText(getResponse.getResponseBodyContent()),,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.005s,PASSED
firstname = firstname,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.002s,PASSED
assert firstname instanceof java.lang.String,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.001s,PASSED
lastname = lastname,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.001s,PASSED
assert lastname instanceof java.lang.String,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.000s,PASSED
totalprice = totalprice,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.001s,PASSED
assert totalprice instanceof java.lang.Integer,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.001s,PASSED
depositpaid = depositpaid,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.000s,PASSED
assert depositpaid instanceof java.lang.Boolean,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.001s,PASSED
bookingdates = bookingdates,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.001s,PASSED
assert bookingdates instanceof java.lang.Object,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.000s,PASSED
checkin = checkin,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.001s,PASSED
assert checkin instanceof java.lang.String,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.000s,PASSED
checkout = checkout,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.000s,PASSED
assert checkout instanceof java.lang.String,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.001s,PASSED
additionalneeds = additionalneeds,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.000s,PASSED
assert additionalneeds instanceof java.lang.String,,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.000s,PASSED
println(getResponse),,,,21-09-2024 22:46:29,21-09-2024 22:46:29,0.001s,PASSED
,,,,,,,
Test Cases/POST,,,,21-09-2024 22:46:29,21-09-2024 22:46:30,0.333s,PASSED
"postResponse = sendRequest(findTestObject(""POST""))",,,,21-09-2024 22:46:29,21-09-2024 22:46:30,0.314s,PASSED
"verifyResponseStatusCode(postResponse, 200)",,,,21-09-2024 22:46:30,21-09-2024 22:46:30,0.001s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,21-09-2024 22:46:30,21-09-2024 22:46:30,0.001s,PASSED
result = slurper.parseText(postResponse.getResponseBodyContent()),,,,21-09-2024 22:46:30,21-09-2024 22:46:30,0.000s,PASSED
println(postResponse),,,,21-09-2024 22:46:30,21-09-2024 22:46:30,0.000s,PASSED
,,,,,,,
Test Cases/DELETE,,,,21-09-2024 22:46:30,21-09-2024 22:46:30,0.012s,ERROR
