Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BookinAPi,,,,22-09-2024 00:39:27,22-09-2024 00:39:32,5.040s,FAILED
,,,,,,,
Test Cases/GET,,,,22-09-2024 00:39:27,22-09-2024 00:39:28,1.826s,PASSED
"getResponse = sendRequest(findTestObject(""GET""))",,,,22-09-2024 00:39:27,22-09-2024 00:39:28,1.697s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.007s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.003s,PASSED
result = slurper.parseText(getResponse.getResponseBodyContent()),,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.005s,PASSED
firstname = firstname,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.003s,PASSED
assert firstname instanceof java.lang.String,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.001s,PASSED
lastname = lastname,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.000s,PASSED
assert lastname instanceof java.lang.String,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.001s,PASSED
totalprice = totalprice,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.001s,PASSED
assert totalprice instanceof java.lang.Integer,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.000s,PASSED
depositpaid = depositpaid,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.001s,PASSED
assert depositpaid instanceof java.lang.Boolean,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.001s,PASSED
bookingdates = bookingdates,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.000s,PASSED
assert bookingdates instanceof java.lang.Object,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.001s,PASSED
checkin = checkin,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.001s,PASSED
assert checkin instanceof java.lang.String,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.000s,PASSED
checkout = checkout,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.001s,PASSED
assert checkout instanceof java.lang.String,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.000s,PASSED
additionalneeds = additionalneeds,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.002s,PASSED
assert additionalneeds instanceof java.lang.String,,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.000s,PASSED
println(getResponse),,,,22-09-2024 00:39:28,22-09-2024 00:39:28,0.002s,PASSED
,,,,,,,
Test Cases/POST,,,,22-09-2024 00:39:28,22-09-2024 00:39:29,0.393s,PASSED
"postResponse = sendRequest(findTestObject(""POST""))",,,,22-09-2024 00:39:28,22-09-2024 00:39:29,0.375s,PASSED
"verifyResponseStatusCode(postResponse, 200)",,,,22-09-2024 00:39:29,22-09-2024 00:39:29,0.001s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:39:29,22-09-2024 00:39:29,0.000s,PASSED
result = slurper.parseText(postResponse.getResponseBodyContent()),,,,22-09-2024 00:39:29,22-09-2024 00:39:29,0.001s,PASSED
println(postResponse),,,,22-09-2024 00:39:29,22-09-2024 00:39:29,0.001s,PASSED
,,,,,,,
Test Cases/DELETE,,,,22-09-2024 00:39:31,22-09-2024 00:39:32,0.695s,FAILED
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:39:31,22-09-2024 00:39:31,0.000s,PASSED
"getResponseAuth = sendRequest(findTestObject(""auth""))",,,,22-09-2024 00:39:31,22-09-2024 00:39:31,0.320s,PASSED
"verifyResponseStatusCode(getResponseAuth, 200)",,,,22-09-2024 00:39:31,22-09-2024 00:39:31,0.002s,PASSED
result = slurper.parseText(getResponseAuth.getResponseBodyContent()),,,,22-09-2024 00:39:31,22-09-2024 00:39:31,0.000s,PASSED
Auth = token,,,,22-09-2024 00:39:31,22-09-2024 00:39:31,0.001s,PASSED
println(getResponseAuth),,,,22-09-2024 00:39:31,22-09-2024 00:39:31,0.000s,PASSED
"delResponse = sendRequest(findTestObject(""DELETE"", [""id"":""3082""]))",,,,22-09-2024 00:39:31,22-09-2024 00:39:32,0.357s,PASSED
"verifyResponseStatusCode(delResponse, 201)",,,,22-09-2024 00:39:32,22-09-2024 00:39:32,0.007s,FAILED
