Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BookinAPi,,,,22-09-2024 00:46:34,22-09-2024 00:46:39,5.420s,ERROR
,,,,,,,
Test Cases/GET,,,,22-09-2024 00:46:34,22-09-2024 00:46:36,2.164s,PASSED
"getResponse = sendRequest(findTestObject(""GET""))",,,,22-09-2024 00:46:34,22-09-2024 00:46:36,2.037s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.008s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.003s,PASSED
result = slurper.parseText(getResponse.getResponseBodyContent()),,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.006s,PASSED
firstname = firstname,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.003s,PASSED
assert firstname instanceof java.lang.String,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
lastname = lastname,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
assert lastname instanceof java.lang.String,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.000s,PASSED
totalprice = totalprice,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
assert totalprice instanceof java.lang.Integer,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
depositpaid = depositpaid,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.000s,PASSED
assert depositpaid instanceof java.lang.Boolean,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.000s,PASSED
bookingdates = bookingdates,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
assert bookingdates instanceof java.lang.Object,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.000s,PASSED
checkin = checkin,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.000s,PASSED
assert checkin instanceof java.lang.String,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
checkout = checkout,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.000s,PASSED
assert checkout instanceof java.lang.String,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
additionalneeds = additionalneeds,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
assert additionalneeds instanceof java.lang.String,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
println(getResponse),,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
,,,,,,,
Test Cases/POST,,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.340s,PASSED
"postResponse = sendRequest(findTestObject(""POST""))",,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.320s,PASSED
"verifyResponseStatusCode(postResponse, 200)",,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.002s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
result = slurper.parseText(postResponse.getResponseBodyContent()),,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.001s,PASSED
println(postResponse),,,,22-09-2024 00:46:36,22-09-2024 00:46:36,0.000s,PASSED
,,,,,,,
Test Cases/DELETE,,,,22-09-2024 00:46:38,22-09-2024 00:46:39,0.710s,ERROR
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:46:38,22-09-2024 00:46:38,0.000s,PASSED
"getResponseAuth = sendRequest(findTestObject(""auth""))",,,,22-09-2024 00:46:38,22-09-2024 00:46:39,0.354s,PASSED
"verifyResponseStatusCode(getResponseAuth, 200)",,,,22-09-2024 00:46:39,22-09-2024 00:46:39,0.002s,PASSED
result = slurper.parseText(getResponseAuth.getResponseBodyContent()),,,,22-09-2024 00:46:39,22-09-2024 00:46:39,0.000s,PASSED
Auth = token,,,,22-09-2024 00:46:39,22-09-2024 00:46:39,0.000s,PASSED
"delResponse = sendRequest(findTestObject(""DELETE"", [""id"":""4109""]))",,,,22-09-2024 00:46:39,22-09-2024 00:46:39,0.344s,PASSED
result2 = slurper.parseText(delResponse.getResponseBodyContent()),,,,22-09-2024 00:46:39,22-09-2024 00:46:39,0.002s,ERROR
