Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BookinAPi,,,,22-09-2024 00:27:13,22-09-2024 00:27:30,16.884s,FAILED
,,,,,,,
Test Cases/GET,,,,22-09-2024 00:27:13,22-09-2024 00:27:23,9.846s,PASSED
"getResponse = sendRequest(findTestObject(""GET""))",,,,22-09-2024 00:27:13,22-09-2024 00:27:23,9.719s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.007s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.003s,PASSED
result = slurper.parseText(getResponse.getResponseBodyContent()),,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.006s,PASSED
firstname = firstname,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.003s,PASSED
assert firstname instanceof java.lang.String,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.001s,PASSED
lastname = lastname,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.001s,PASSED
assert lastname instanceof java.lang.String,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.001s,PASSED
totalprice = totalprice,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.000s,PASSED
assert totalprice instanceof java.lang.Integer,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.001s,PASSED
depositpaid = depositpaid,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.001s,PASSED
assert depositpaid instanceof java.lang.Boolean,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.000s,PASSED
bookingdates = bookingdates,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.001s,PASSED
assert bookingdates instanceof java.lang.Object,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.001s,PASSED
checkin = checkin,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.000s,PASSED
assert checkin instanceof java.lang.String,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.001s,PASSED
checkout = checkout,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.002s,PASSED
assert checkout instanceof java.lang.String,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.001s,PASSED
additionalneeds = additionalneeds,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.001s,PASSED
assert additionalneeds instanceof java.lang.String,,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.001s,PASSED
println(getResponse),,,,22-09-2024 00:27:23,22-09-2024 00:27:23,0.002s,PASSED
,,,,,,,
Test Cases/POST,,,,22-09-2024 00:27:23,22-09-2024 00:27:27,4.285s,PASSED
"postResponse = sendRequest(findTestObject(""POST""))",,,,22-09-2024 00:27:23,22-09-2024 00:27:27,4.260s,PASSED
"verifyResponseStatusCode(postResponse, 200)",,,,22-09-2024 00:27:27,22-09-2024 00:27:27,0.003s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:27:27,22-09-2024 00:27:27,0.002s,PASSED
result = slurper.parseText(postResponse.getResponseBodyContent()),,,,22-09-2024 00:27:27,22-09-2024 00:27:27,0.002s,PASSED
println(postResponse),,,,22-09-2024 00:27:27,22-09-2024 00:27:27,0.000s,PASSED
,,,,,,,
Test Cases/DELETE,,,,22-09-2024 00:27:29,22-09-2024 00:27:30,0.686s,FAILED
slurper = new groovy.json.JsonSlurper(),,,,22-09-2024 00:27:29,22-09-2024 00:27:29,0.001s,PASSED
"getResponseAuth = sendRequest(findTestObject(""auth""))",,,,22-09-2024 00:27:29,22-09-2024 00:27:30,0.308s,PASSED
"verifyResponseStatusCode(getResponseAuth, 200)",,,,22-09-2024 00:27:30,22-09-2024 00:27:30,0.002s,PASSED
result = slurper.parseText(getResponseAuth.getResponseBodyContent()),,,,22-09-2024 00:27:30,22-09-2024 00:27:30,0.000s,PASSED
Auth = token,,,,22-09-2024 00:27:30,22-09-2024 00:27:30,0.000s,PASSED
"delResponse = sendRequest(findTestObject(""DELETE"", [""id"":""""]))",,,,22-09-2024 00:27:30,22-09-2024 00:27:30,0.354s,PASSED
"verifyResponseStatusCode(delResponse, 201)",,,,22-09-2024 00:27:30,22-09-2024 00:27:30,0.005s,FAILED
